Distance (Yards),Speed (mph),Kinetic Energy (Relative),Delta Time,Yards Per Second,Braking (Decleration Y/s^2),Time To Stop (Seconds),Distance Travel To Stop (Yards),D,Difference of Distance and Stop Distance
62,55,3025,2.254545455,27.5,-14.66666667,1.88,26,62,36
65,62,3844,2.096774194,31,,2.11,66,65,-1
65,65,4225,2,32.5,,2.22,72,65,-7
73,65,4225,2.246153846,32.5,,2.22,72,73,1
63,66,4356,1.909090909,33,,2.25,74,63,-11
66,66,4356,2,33,,2.25,74,66,-8
74,66,4356,2.242424242,33,,2.25,74,74,0
74,66,4356,2.242424242,33,,2.25,74,74,0
63,67,4489,1.880597015,33.5,,2.28,77,63,-14
70,67,4489,2.089552239,33.5,,2.28,77,70,-7
75,70,4900,2.142857143,35,,2.39,84,75,-9
79,71,5041,2.225352113,35.5,,2.42,86,79,-7
84,72,5184,2.333333333,36,,2.45,88,84,-4
65,73,5329,1.780821918,36.5,,2.49,91,65,-26
81,73,5329,2.219178082,36.5,,2.49,91,81,-10
69,74,5476,1.864864865,37,,2.52,93,69,-24
84,74,5476,2.27027027,37,,2.52,93,84,-9
67,75,5625,1.786666667,37.5,,2.56,96,67,-29
93,75,5625,2.48,37.5,,2.56,96,93,-3
83,76,5776,2.184210526,38,,2.59,98,83,-15
102,76,5776,2.684210526,38,,2.59,98,102,4
107,77,5929,2.779220779,38.5,,2.63,101,107,6
110,78,6084,2.820512821,39,,2.66,104,110,6
111,78,6084,2.846153846,39,,2.66,104,111,7
85,80,6400,2.125,40,,2.73,109,85,-24
,,,,,,,,,
,,,,,11,,,,
,,,,,-7.333333333,,,,
,,,,,,,,,
,,,,,-33,,,,
,,,,,-66,,,,
,,,,,-7.333333333,,,,
